Full_Name,Specialty,Add_Specialty,Full_Address,Practice,Address,City,State,Zip,Phone,URL
"Ajay Gupta, MD",Nephrology,Internal Medicine,"12804 Heritage Pl.Cerritos, CA 90703",,"12804 Heritage Pl.Cerritos, CA 90703",Cerritos,CA,90703,562-412-6259,https://www.stfrancismedicalcenter.com/find-a-provider/ajay-gupta-md/
"Gol M.. Golshani, MD",Hematology/Oncology,,"3300 E South St., Suite 304 Long Beach, CA 90805",,"3300 E South St., Suite 304 Long Beach, CA 90805",Long Beach,CA,90805,562-232-0550,https://www.stfrancismedicalcenter.com/find-a-provider/gol-m-golshani-md/
"Onaona Gurney, MD",Surgical Critical Care,General Surgery,"3737 Martin Luther King Jr. Blvd, Suite 301 Lynwood, CA 92602",,"3737 Martin Luther King Jr. Blvd, Suite 301 Lynwood, CA 92602",Lynwood,CA,92602,424-403-4778,https://www.stfrancismedicalcenter.com/find-a-provider/onaona-gurney-md/
"Carmen P.. Gonzales-Nate, MD",Psychiatry,,"3737 MLK Jr. Blvd., Suite 550 Lynwood, CA 90262",,"3737 MLK Jr. Blvd., Suite 550 Lynwood, CA 90262",Lynwood,CA,90262,310-609-3890,https://www.stfrancismedicalcenter.com/find-a-provider/carmen-p-gonzales-nate-md/
"John Ho, MD",Pediatric Cardiology,Pediatrics,"Pacific Pediatric Cardiology50 Bellefontaine St., Suite 405 Pasadena, CA 91105",Pacific Pediatric Cardiology,"50 Bellefontaine St., Suite 405 Pasadena, CA 91105",Pasadena,CA,91105,626-796-9259,https://www.stfrancismedicalcenter.com/find-a-provider/john-ho-md/
"Carlos R.. Guzman, MD",General Surgery,,"3975 Dalton AveLos Angeles, CA 90062",,"3975 Dalton AveLos Angeles, CA 90062",Los Angeles,CA,90062,213-595-2358,https://www.stfrancismedicalcenter.com/find-a-provider/carlos-r-guzman-md/
"Eduardo Gonzalez, MD",Family Medicine,,"3625 MLK Jr. Blvd., Suite 7 Lynwood, CA 90262",,"3625 MLK Jr. Blvd., Suite 7 Lynwood, CA 90262",Lynwood,CA,90262,310-763-1336,https://www.stfrancismedicalcenter.com/find-a-provider/eduardo-gonzalez-md/
"Andy Hong, MD",Nephrology,Internal Medicine,"3625 MLK Jr. Blvd., Suite 5 Lynwood, CA 90262",,"3625 MLK Jr. Blvd., Suite 5 Lynwood, CA 90262",Lynwood,CA,90262,310-763-7504,https://www.stfrancismedicalcenter.com/find-a-provider/andy-hong-md/
"Edgar X.. Guzman-Suarez, MD",Critical Care Medicine,Nephrology,"555 East Hardy StreetInglewood, CA 90301",,"555 East Hardy StreetInglewood, CA 90301",Inglewood,CA,90301,310-680-4544,https://www.stfrancismedicalcenter.com/find-a-provider/edgar-x-guzman-suarez-md/
"Christopher M.. Hoshino, MD",Orthopaedic Surgery,,"Christopher Hoshino MD Inc2865 Atlantic Ave., Suite 221 Long Beach, CA 90806",Christopher Hoshino MD Inc,"2865 Atlantic Ave., Suite 221 Long Beach, CA 90806",Long Beach,CA,90806,562-912-7437,https://www.stfrancismedicalcenter.com/find-a-provider/christopher-m-hoshino-md/
"Prema S.. Hampapur, DPM",Podiatric Surgery,Wound Care,"4911 Van Nuys BlvdSherman Oaks, CA 91401",,"4911 Van Nuys BlvdSherman Oaks, CA 91401",Sherman Oaks,CA,91401,818-205-1995,https://www.stfrancismedicalcenter.com/find-a-provider/prema-s-hampapur-dpm/
"Joseph K.. Hsu, MD",Ophthalmology,,"8333 Iowa St, Ste 202 Downey, CA 90241",,"8333 Iowa St, Ste 202 Downey, CA 90241",Downey,CA,90241,562-861-7291,https://www.stfrancismedicalcenter.com/find-a-provider/joseph-k-hsu-md/
"Syed A.. Hasan, MD",Internal Medicine,,"8510 Balboa Blvd., Suite 150 Northridge, CA 91325",,"8510 Balboa Blvd., Suite 150 Northridge, CA 91325",Northridge,CA,91325,818-552-6230,https://www.stfrancismedicalcenter.com/find-a-provider/syed-a-hasan-md/
"Jimmy C.. Huang, MD",Diagnostic Radiology,,"SFMC - Radiology Dept3630 E. Imperial Hwy.Lynwood, CA 90262",SFMC - Radiology Dept,"3630 E. Imperial Hwy.Lynwood, CA 90262",Lynwood,CA,90262,310-900-2750,https://www.stfrancismedicalcenter.com/find-a-provider/jimmy-c-huang-md/
"Gerald P.. Henry, MD",Obstetrics and Gynecology,,"3628 E. Imperial Hwy, Suite 200 Lynwood, CA 90262",,"3628 E. Imperial Hwy, Suite 200 Lynwood, CA 90262",Lynwood,CA,90262,310-603-2345,https://www.stfrancismedicalcenter.com/find-a-provider/gerald-p-henry-md/
"David B.. Jackson, MD",Radiology - Telemedicine,,"Advanced TeleRadiologyP.O. Box 53803Irvine, CA 92603",Advanced TeleRadiology,"P.O. Box 53803Irvine, CA 92603",Irvine,CA,92603,888-225-0628,https://www.stfrancismedicalcenter.com/find-a-provider/david-b-jackson-md/
"Kiki Hurt, MD",Anesthesiology,Critical Care Medicine,"3630 E. Imperial Hwy, Anesthesia Lynwood, CA 90262",,"3630 E. Imperial Hwy, Anesthesia Lynwood, CA 90262",Lynwood,CA,90262,213-747-3588,https://www.stfrancismedicalcenter.com/find-a-provider/kiki-hurt-md/
"Munther A.. Hijazin, MD",Neurology,Internal Medicine,"Prentice, Mitri and Hijazin Neurological Assoc10916 Downey Ave.Downey, CA 90241","Prentice, Mitri and Hijazin Neurological Assoc","10916 Downey Ave.Downey, CA 90241",Downey,CA,90241,562-861-1988,https://www.stfrancismedicalcenter.com/find-a-provider/munther-a-hijazin-md/
"Javier A.. Jardon, MD",Ophthalmology,,"4131 Slauson aveMaywood, CA 91911",,"4131 Slauson aveMaywood, CA 91911",Maywood,CA,91911,323-749-8100,https://www.stfrancismedicalcenter.com/find-a-provider/javier-a-jardon-md/
"Tanvir Hussain, MD",Cardiovascular Disease,Internal Medicine,"Cardio Medical Consultants Group3737 Martin Luther King Jr. Blvd., Suite 401 Lynwood, CA 90262",Cardio Medical Consultants Group,"3737 Martin Luther King Jr. Blvd., Suite 401 Lynwood, CA 90262",Lynwood,CA,90262,310-604-0443,https://www.stfrancismedicalcenter.com/find-a-provider/tanvir-hussain-md/
"Win Win Hlaing, MD",Nephrology,,"101 E Beverly Blvd Ste 304Montebello, CA 90640",,"101 E Beverly Blvd Ste 304Montebello, CA 90640",Montebello,CA,90640,323-722-7418,https://www.stfrancismedicalcenter.com/find-a-provider/win-win-hlaing-md/
"Gamini S.. Jayasinghe, MD",Psychiatry,,"8522 Travistuck PlaceBuena Park, CA 90621",,"8522 Travistuck PlaceBuena Park, CA 90621",Buena Park,CA,90621,714-523-8191,https://www.stfrancismedicalcenter.com/find-a-provider/gamini-s-jayasinghe-md/
"Farabi M.. Hussain, MD",General Surgery,,"Desert Trauma Surgeons3628 E. Imperial Hwy, Suite 408Lynwood, CA 90262",Desert Trauma Surgeons,"3628 E. Imperial Hwy, Suite 408Lynwood, CA 90262",Lynwood,CA,90262,310-554-4127,https://www.stfrancismedicalcenter.com/find-a-provider/farabi-m-hussain-md/
"Gaston J.. Jeremiah, PA",Physician Assistant,,"Physician Assistant Specialists of CA22431 Antonio Pkwy B160-613Rancho Santa Margarita, CA 92688",Physician Assistant Specialists of CA,"22431 Antonio Pkwy B160-613Rancho Santa Margarita, CA 92688",Rancho Santa Margarita,CA,92688,855-727-2251,https://www.stfrancismedicalcenter.com/find-a-provider/gaston-j-jeremiah-pa/
"Brian Ichwan, MD",Emergency Medicine,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/brian-ichwan-md/
"Wang (James) W.. Ji, MD",Internal Medicine,,"8510 Balboa Blvd, suite 150 NORTHRIDGE, CA 91325",,"8510 Balboa Blvd, suite 150 NORTHRIDGE, CA 91325",NORTHRIDGE,CA,91325,818-552-6230,https://www.stfrancismedicalcenter.com/find-a-provider/wang-james-w-ji-md/
"Samuel Im, MD",Obstetrics and Gynecology,Gynecologic Oncology,"12462 Putnam St, Suite 303 Whittier, CA 90602",,"12462 Putnam St, Suite 303 Whittier, CA 90602",Whittier,CA,90602,562-789-5440,https://www.stfrancismedicalcenter.com/find-a-provider/samuel-im-md/
"Farzin Kabaei, MD",Orthopaedic Surgery,,"8436 W 3rd Street, Suite 800 Los Angeles, CA 90048",,"8436 W 3rd Street, Suite 800 Los Angeles, CA 90048",Los Angeles,CA,90048,310-792-9300,https://www.stfrancismedicalcenter.com/find-a-provider/farzin-kabaei-md/
"Brian Jimenez, PA",,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/brian-jimenez-pa/
"Kaushik Ivaturi, MD",Nephrology,Internal Medicine,"ProHealth Partners A Medical Group Inc2888 LONG BEACH BLVD STE 235LONG BEACH, CA 90806",ProHealth Partners A Medical Group Inc,"2888 LONG BEACH BLVD STE 235LONG BEACH, CA 90806",LONG BEACH,CA,90806,562-424-4447,https://www.stfrancismedicalcenter.com/find-a-provider/kaushik-ivaturi-md/
"Poonam S.. Kalkat, NP",Nurse Practitioner,,"Desert Trauma Surgeons3628 E. Imperial Hwy, Suite 408Lynwood, CA 90262",Desert Trauma Surgeons,"3628 E. Imperial Hwy, Suite 408Lynwood, CA 90262",Lynwood,CA,90262,310-554-4127,https://www.stfrancismedicalcenter.com/find-a-provider/poonam-s-kalkat-np/
"Renu V.. Jivrajka, MD",Ophthalmology,,"Shammas Eye Medical Center3510 MLK Jr. Blvd.Lynwood, CA 90262",Shammas Eye Medical Center,"3510 MLK Jr. Blvd.Lynwood, CA 90262",Lynwood,CA,90262,310-638-9391,https://www.stfrancismedicalcenter.com/find-a-provider/renu-v-jivrajka-md/
"Mohammad R.. Jaber, MD",Vascular Surgery,,"8043 2nd Street, Suite 105 Downey, CA 90241",,"8043 2nd Street, Suite 105 Downey, CA 90241",Downey,CA,90241,562-862-1134,https://www.stfrancismedicalcenter.com/find-a-provider/mohammad-r-jaber-md/
"Bishoy G.. Kamel, MD",Internal Medicine,,"Epic Medical Group4955 Van Nuys Blvd, Ste 308 Sherman Oaks, CA 91403",Epic Medical Group,"4955 Van Nuys Blvd, Ste 308 Sherman Oaks, CA 91403",Sherman Oaks,CA,91403,213-279-1220,https://www.stfrancismedicalcenter.com/find-a-provider/bishoy-g-kamel-md/
"Toni D.. Johnson-Chavis, MD",Pediatrics,,"403 S. Long Beach Blvd., Suite B Compton, CA 90221",,"403 S. Long Beach Blvd., Suite B Compton, CA 90221",Compton,CA,90221,323-774-6551,https://www.stfrancismedicalcenter.com/find-a-provider/toni-d-johnson-chavis-md/
"Anjala Kanda, DPM",Podiatrist,,"14642 Newport Ave. #450Tustin, CA 92780",,"14642 Newport Ave. #450Tustin, CA 92780",Tustin,CA,92780,714-669-4422,https://www.stfrancismedicalcenter.com/find-a-provider/anjala-kanda-dpm/
"David O.. Jones, MD",Emergency Medicine,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/david-o-jones-md/
"Frangis Karamedin, MD",Pediatrics,,"3680 E. Imperial Hwy., Suite 306 Lynwood, CA 90262",,"3680 E. Imperial Hwy., Suite 306 Lynwood, CA 90262",Lynwood,CA,90262,310-609-1500,https://www.stfrancismedicalcenter.com/find-a-provider/frangis-karamedin-md/
"Reginald Jones, MD",Surgical Critical Care,General Surgery,"3628 E. Imperial Hwy., Suite 204 Lynwood, CA 90262",,"3628 E. Imperial Hwy., Suite 204 Lynwood, CA 90262",Lynwood,CA,90262,424-213-4290,https://www.stfrancismedicalcenter.com/find-a-provider/reginald-jones-md/
"Pallavi Kasukurthi, MD",Internal Medicine,,"Applecare Hospitalist Medical GroupP.O. Box 1088Artesia, CA 90702",Applecare Hospitalist Medical Group,"P.O. Box 1088Artesia, CA 90702",Artesia,CA,90702,562-869-1070,https://www.stfrancismedicalcenter.com/find-a-provider/pallavi-kasukurthi-md/
"Navelle E.. Jones, MD",Pediatrics,,"403 S. Long Beach Blvd., Suite B Compton, CA 90221",,"403 S. Long Beach Blvd., Suite B Compton, CA 90221",Compton,CA,90221,323-774-6551,https://www.stfrancismedicalcenter.com/find-a-provider/navelle-e-jones-md/
"Sendhil K.. Krishnan, MD",Interventional Cardiology,,"Cardio Medical Consultants Group3737 Martin Luther King Jr. Blvd., Suite 401 Lynwood, CA 90262",Cardio Medical Consultants Group,"3737 Martin Luther King Jr. Blvd., Suite 401 Lynwood, CA 90262",Lynwood,CA,90262,310-604-0443,https://www.stfrancismedicalcenter.com/find-a-provider/sendhil-k-krishnan-md/
"Jon P.. Kea, MD",Hospice and Palliative Medicine,Internal Medicine,"3630 East Imperial HwyLynwood, CA 90262",,"3630 East Imperial HwyLynwood, CA 90262",Lynwood,CA,90262,310-421-8295,https://www.stfrancismedicalcenter.com/find-a-provider/jon-p-kea-md/
"Wilbert C.. Jordan, MD",Infectious Disease,Internal Medicine,"16660 Paramount Blvd., Suite 303 Paramount, CA 90723",,"16660 Paramount Blvd., Suite 303 Paramount, CA 90723",Paramount,CA,90723,562-630-1415,https://www.stfrancismedicalcenter.com/find-a-provider/wilbert-c-jordan-md/
"Ashok Kumar, MD",Pulmonary Medicine,Internal Medicine,"4477 W. 118th St., Suite 200 Hawthorne, CA 90250",,"4477 W. 118th St., Suite 200 Hawthorne, CA 90250",Hawthorne,CA,90250,310-675-4440,https://www.stfrancismedicalcenter.com/find-a-provider/ashok-kumar-md/
"Sandeep K.. Khanna, MD",Ophthalmology,,"1700 E. Cesar Chavez Ave., Suite 3400 Los Angeles, CA 90033",,"1700 E. Cesar Chavez Ave., Suite 3400 Los Angeles, CA 90033",Los Angeles,CA,90033,844-211-5462,https://www.stfrancismedicalcenter.com/find-a-provider/sandeep-k-khanna-md/
"Edward H.. Kwon, MD",Surgical Critical Care,General Surgery,"Edward Kwon, MD, Inc3737 MLK Jr., Blvd., Suite 301Lynwood, CA 90262","Edward Kwon, MD, Inc","3737 MLK Jr., Blvd., Suite 301Lynwood, CA 90262",Lynwood,CA,90262,424-403-4778,https://www.stfrancismedicalcenter.com/find-a-provider/edward-h-kwon-md/
"Samia A.. Khwaja, MD",Nephrology,Internal Medicine,"3621 MLK Blvd. Suite 6Lynwood, CA 90262",,"3621 MLK Blvd. Suite 6Lynwood, CA 90262",Lynwood,CA,90262,323-725-0051,https://www.stfrancismedicalcenter.com/find-a-provider/samia-a-khwaja-md/
"Anastasia E.. Kwon, MD",Anesthesiology,,,,,,,,626-256-6010,https://www.stfrancismedicalcenter.com/find-a-provider/?fbclid=IwAR0Gwi2H4D1uqJTOQnCsPcbGhf8EH8_B7z-ZdbsPr8xsMN-9TbY4E-EoPc4
"Nafiz M.. Kiciman, MD",Pediatric Cardiology,Neonatal-Perinatal Medicine,"1201 W. La Veta AvenueOrange, CA 92868",,"1201 W. La Veta AvenueOrange, CA 92868",Orange,CA,92868,714-509-3939,https://www.stfrancismedicalcenter.com/find-a-provider/nafiz-m-kiciman-md/
"Thomas G.. Kwong, MD",Psychiatry,,"Alliance for Wellness / SoCal Mental Health14860 Roscoe Blvd, Suite 307 Panorama City, CA 91402",Alliance for Wellness / SoCal Mental Health,"14860 Roscoe Blvd, Suite 307 Panorama City, CA 91402",Panorama City,CA,91402,747-998-0387,https://www.stfrancismedicalcenter.com/find-a-provider/thomas-g-kwong-md/
"John C.. Kirby, DO",Radiology - Telemedicine,Radiology - Telemedicine,"PO Box 53803Irvine, CA 92619",,"PO Box 53803Irvine, CA 92619",Irvine,CA,92619,888-662-5321,https://www.stfrancismedicalcenter.com/find-a-provider/john-c-kirby-do/
"Aakash Lad, MD",Diagnostic Radiology,Neuroradiology,"SFMC - Radiology Department3630 E. Imperial Hwy.Lynwood, CA 90262",SFMC - Radiology Department,"3630 E. Imperial Hwy.Lynwood, CA 90262",Lynwood,CA,90262,310-900-2750,https://www.stfrancismedicalcenter.com/find-a-provider/aakash-lad-md/
"Alexander Knezevic, MD",Ophthalmology,,"3737 Martin Luther King J, # 340 Lynwood, CA 90262",,"3737 Martin Luther King J, # 340 Lynwood, CA 90262",Lynwood,CA,90262,310-638-0402,https://www.stfrancismedicalcenter.com/find-a-provider/alexander-knezevic-md/
"Mark C.. Lee, MD",Nephrology,Internal Medicine,"Mark Lee M.D. Inc11147 Washington Blvd.Whittier, CA 90606",Mark Lee M.D. Inc,"11147 Washington Blvd.Whittier, CA 90606",Whittier,CA,90606,562-695-6988,https://www.stfrancismedicalcenter.com/find-a-provider/mark-c-lee-md/
"Wyman W.. Lai, MD",Pediatric Cardiology,Pediatrics,"1201 W La Veta AvenueOrange, CA 92868",,"1201 W La Veta AvenueOrange, CA 92868",Orange,CA,92868,714-509-8406,https://www.stfrancismedicalcenter.com/find-a-provider/wyman-w-lai-md/
"Onechang W.. Lee, MD",Neurological Surgery,,"18035 Brookhurst Street, Ste 1700Fountain Valley, CA 92708",,"18035 Brookhurst Street, Ste 1700Fountain Valley, CA 92708",Fountain Valley,CA,92708,714-433-2000,https://www.stfrancismedicalcenter.com/find-a-provider/onechang-w-lee-md/
"Lesley E.. Lawrenson, MD",Radiation Oncology,,"South Bay Cancer Center14608 Hawthorne Blvd.Lawndale, CA 90260",South Bay Cancer Center,"14608 Hawthorne Blvd.Lawndale, CA 90260",Lawndale,CA,90260,310-978-4970,https://www.stfrancismedicalcenter.com/find-a-provider/lesley-e-lawrenson-md/
"Tyler T.. Leigh, MD",Neurology - Telemedicine,,"Blue Sky Neurology, a Division of CarePoint499 E Hampden Ave, Suite 360Englewood, CO 80113","Blue Sky Neurology, a Division of CarePoint","499 E Hampden Ave, Suite 360Englewood, CO 80113",Englewood,CO,80113,303-781-4485,https://www.stfrancismedicalcenter.com/find-a-provider/tyler-t-leigh-md/
"Milton I.. Lee, MD",Maternal and Fetal Medicine,Obstetrics and Gynecology,"3680 E Imperial Hwy, Ste 460 Lynwood, CA 90262",,"3680 E Imperial Hwy, Ste 460 Lynwood, CA 90262",Lynwood,CA,90262,310-635-5857,https://www.stfrancismedicalcenter.com/find-a-provider/milton-i-lee-md/
"Daniel R.. Lemay, MD",Neurological Surgery,,"8043 2nd St., Suite 105 Downey, CA 90241",,"8043 2nd St., Suite 105 Downey, CA 90241",Downey,CA,90241,562-862-1134,https://www.stfrancismedicalcenter.com/find-a-provider/daniel-r-lemay-md/
"Michelle J.. Lee, PA",Physician Assistant,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/michelle-j-lee-pa/
"Marcos Lemor, MD",Ophthalmology,,"4036 E. Whittier Blvd., Suite 202 Los Angeles, CA 90023",,"4036 E. Whittier Blvd., Suite 202 Los Angeles, CA 90023",Los Angeles,CA,90023,323-262-3333,https://www.stfrancismedicalcenter.com/find-a-provider/marcos-lemor-md/
"Ben Lee, MD",Diagnostic Radiology,,"Advanced TeleradiologyP.O. Box 53803Irvine, CA 92619",Advanced Teleradiology,"P.O. Box 53803Irvine, CA 92619",Irvine,CA,92619,888-225-0628,https://www.stfrancismedicalcenter.com/find-a-provider/ben-lee-md/
"David L.. Lunsford, CRNA",Certified Registered Nurse Anesthetist,,"P.O. Box 957Redondo Beach, CA 90277",,"P.O. Box 957Redondo Beach, CA 90277",Redondo Beach,CA,90277,310-465-9878,https://www.stfrancismedicalcenter.com/find-a-provider/david-l-lunsford-crna/
"Eileen A.. Liljeblad, MD",Diagnostic Radiology,,"Advanced TeleradiologyP.O. Box 53803Irvine, CA 92619",Advanced Teleradiology,"P.O. Box 53803Irvine, CA 92619",Irvine,CA,92619,888-225-0628,https://www.stfrancismedicalcenter.com/find-a-provider/eileen-a-liljeblad-md/
"Brian M.. Lee, MD",Nephrology,Internal Medicine,"Kidney Specialists Medical Group3625 MLK Jr. Blvd., Suite 5 Lynwood, CA 90262",Kidney Specialists Medical Group,"3625 MLK Jr. Blvd., Suite 5 Lynwood, CA 90262",Lynwood,CA,90262,310-763-7504,https://www.stfrancismedicalcenter.com/find-a-provider/brian-m-lee-md/
"Huy Q.. Ly, MD",Ophthalmology,,"3510 Martin Luther King Jr. BlvLynwood, CA 90262",,"3510 Martin Luther King Jr. BlvLynwood, CA 90262",Lynwood,CA,90262,310-603-8749,https://www.stfrancismedicalcenter.com/find-a-provider/huy-q-ly-md/
"Francisco L.. Lim, RN",Psychiatry,,,,,,,,310-900-8210,https://www.stfrancismedicalcenter.com/find-a-provider/?fbclid=IwAR0Gwi2H4D1uqJTOQnCsPcbGhf8EH8_B7z-ZdbsPr8xsMN-9TbY4E-EoPc4
"Paiboon Mahaisavariya, MD",Cardiovascular Disease,Internal Medicine,"Cardiovascular Medical Associates8317 Davis St., Suite A Downey, CA 90241",Cardiovascular Medical Associates,"8317 Davis St., Suite A Downey, CA 90241",Downey,CA,90241,562-869-1511,https://www.stfrancismedicalcenter.com/find-a-provider/paiboon-mahaisavariya-md/
"Jamie A.. Lipeles, DO",Obstetrics and Gynecology,,"4560 Admiralty Way, Suite 105 Marina Del Rey, CA 90292",,"4560 Admiralty Way, Suite 105 Marina Del Rey, CA 90292",Marina Del Rey,CA,90292,310-694-5255,https://www.stfrancismedicalcenter.com/find-a-provider/jamie-a-lipeles-do/
"Mehboob A.. Makhani, MD",Psychiatry,,"14860 Roscoe Blvd Ste 304Panorama City, CA 91402",,"14860 Roscoe Blvd Ste 304Panorama City, CA 91402",Panorama City,CA,91402,747-998-0387,https://www.stfrancismedicalcenter.com/find-a-provider/mehboob-a-makhani-md/
"Minghsun Liu, MD",Infectious Disease,,"11103 Venice Blvd.Los Angeles, CA 90034",,"11103 Venice Blvd.Los Angeles, CA 90034",Los Angeles,CA,90034,310-734-8526,https://www.stfrancismedicalcenter.com/find-a-provider/minghsun-liu-md/
"Farshad Malekmehr, MD",Thoracic and Cardiac Surgery,,"16311 Ventura Blvd, 1080 Encino, CA 91403",,"16311 Ventura Blvd, 1080 Encino, CA 91403",Encino,CA,91403,818-908-9752,https://www.stfrancismedicalcenter.com/find-a-provider/farshad-malekmehr-md/
"Kyle C.. Lochridge, PA",Physician Assistant,,"Vituity3630 E. Imperial Hwy, Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy, Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/kyle-c-lochridge-pa/
"Nalin Mallik, MD",Critical Care Medicine,Internal Medicine,"PMP Medical Corporation  (Contract - ICU Intensivists)3630 E. Imperial Hwy., Tower Suite 227 Lynwood, CA 90262",PMP Medical Corporation  (Contract - ICU Intensivists),"3630 E. Imperial Hwy., Tower Suite 227 Lynwood, CA 90262",Lynwood,CA,90262,310-900-8090,https://www.stfrancismedicalcenter.com/find-a-provider/nalin-mallik-md/
"Bryan E.. Love, MD",Surgical Critical Care,General Surgery,"Desert Trauma Surgeons3628 E. Imperial Hwy, Suite 408Lynwood, CA 90262",Desert Trauma Surgeons,"3628 E. Imperial Hwy, Suite 408Lynwood, CA 90262",Lynwood,CA,90262,310-554-4127,https://www.stfrancismedicalcenter.com/find-a-provider/bryan-e-love-md/
"Anthony C.. McCanta, MD",Pediatric Cardiology,,"1201 W La Veta AveOrange, CA 92868",,"1201 W La Veta AveOrange, CA 92868",Orange,CA,92868,714-509-3939,https://www.stfrancismedicalcenter.com/find-a-provider/anthony-c-mccanta-md/
"Concepcion Mangasep, MD",Psychiatry,,"College Mecical Center2776 Pacific Avenue, Psychiatry Department Long Beach, CA 90806",College Mecical Center,"2776 Pacific Avenue, Psychiatry Department Long Beach, CA 90806",Long Beach,CA,90806,562-997-2000,https://www.stfrancismedicalcenter.com/find-a-provider/concepcion-mangasep-md/
"Stephen Lui, MD",Nephrology,Internal Medicine,"3625 MLK Jr. Blvd., Suite 5 Lynwood, CA 90262",,"3625 MLK Jr. Blvd., Suite 5 Lynwood, CA 90262",Lynwood,CA,90262,310-763-7504,https://www.stfrancismedicalcenter.com/find-a-provider/stephen-lui-md/
"Danny C.. McCarthy, DO",Radiology - Telemedicine,,"Advanced TeleradiologyP.O. Box 53803Irvine, CA 92619",Advanced Teleradiology,"P.O. Box 53803Irvine, CA 92619",Irvine,CA,92619,888-225-0628,https://www.stfrancismedicalcenter.com/find-a-provider/danny-c-mccarthy-do/
"Christopher J.. Marrocco, MD",Vascular Surgery,General Surgery,"3680 E. Imperial Hwy., Suite 502 Lynwood, CA 90262",,"3680 E. Imperial Hwy., Suite 502 Lynwood, CA 90262",Lynwood,CA,90262,562-698-0271,https://www.stfrancismedicalcenter.com/find-a-provider/christopher-j-marrocco-md/
"Emmanuel L.. McCarthy, PT",Psychiatry,,,,,,,,310-900-8210,https://www.stfrancismedicalcenter.com/find-a-provider/?fbclid=IwAR0Gwi2H4D1uqJTOQnCsPcbGhf8EH8_B7z-ZdbsPr8xsMN-9TbY4E-EoPc4
"Claudia V.. Martinez, MD",Emergency Medicine,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/claudia-v-martinez-md/
"Holly M.. McCune, MD",Radiology - Telemedicine,,"Advanced TeleradiologyP.O. Box 53803Irvine, CA 92619",Advanced Teleradiology,"P.O. Box 53803Irvine, CA 92619",Irvine,CA,92619,888-225-0628,https://www.stfrancismedicalcenter.com/find-a-provider/holly-m-mccune-md/
"Marsha L.. Martinson, MD",Obstetrics and Gynecology,,"All Safe Medical Group8077 Florence Ave., Suite 112 Downey, CA 90240",All Safe Medical Group,"8077 Florence Ave., Suite 112 Downey, CA 90240",Downey,CA,90240,562-904-6031,https://www.stfrancismedicalcenter.com/find-a-provider/marsha-l-martinson-md/
"Ricardo E.. McKenzie, MD",Internal Medicine,,", Suite 470 , CA ",,", Suite 470 , CA ",,CA,,310-705-8318,https://www.stfrancismedicalcenter.com/find-a-provider/ricardo-e-mckenzie-md/
"Dorsa F.. Maryska, MD",Nephrology,Internal Medicine,"Dorsa Nasseri Maryska MD Inc101 Beverly Blvd., Suite 304 Montebello, CA 90640",Dorsa Nasseri Maryska MD Inc,"101 Beverly Blvd., Suite 304 Montebello, CA 90640",Montebello,CA,90640,323-722-7418,https://www.stfrancismedicalcenter.com/find-a-provider/dorsa-f-maryska-md/
"Michael K.. McLean, MD",Thoracic and Cardiac Surgery,General Surgery,"711 W. College St, Suite 560 Los Angeles, CA 90057",,"711 W. College St, Suite 560 Los Angeles, CA 90057",Los Angeles,CA,90057,213-628-3592,https://www.stfrancismedicalcenter.com/find-a-provider/michael-k-mclean-md/
"K.N. S.. Mbagwu, MD",Obstetrics and Gynecology,,"1218 S. Inglewood Ave.Inglewood, CA 90301",,"1218 S. Inglewood Ave.Inglewood, CA 90301",Inglewood,CA,90301,310-672-4881,https://www.stfrancismedicalcenter.com/find-a-provider/k-n-s-mbagwu-md/
"Muhammad Memon, MD",Internal Medicine,,"555 W. Compton Blvd., Suite 104 Compton, CA 90220",,"555 W. Compton Blvd., Suite 104 Compton, CA 90220",Compton,CA,90220,310-639-7200,https://www.stfrancismedicalcenter.com/find-a-provider/muhammad-memon-md/
